alpha,R_net_bps_hz
0.01,0.9998790230951294
0.026896551724137928,1.0118881988382649
0.04379310344827586,1.0009221242714899
0.060689655172413794,0.986119817104519
0.07758620689655171,0.9699825230510392
0.09448275862068964,0.9532252673809171
0.11137931034482758,0.9361298028267415
0.12827586206896552,0.9188296133786007
0.14517241379310344,0.9013961055466823
0.16206896551724137,0.8838709365728973
0.1789655172413793,0.8662800456220618
0.19586206896551722,0.8486404281659335
0.21275862068965518,0.8309636847565042
0.2296551724137931,0.8132580042919907
0.24655172413793103,0.7955293323037486
0.2634482758620689,0.7777820899337881
0.2803448275862069,0.7600196330580722
0.29724137931034483,0.7422445549002419
0.31413793103448273,0.7244588910337337
0.3310344827586207,0.7066642616316331
0.3479310344827586,0.6888619722867162
0.36482758620689654,0.6710530868273298
0.38172413793103444,0.6532384808025481
0.3986206896551724,0.6354188813700311
0.41551724137931034,0.6175948974555636
0.43241379310344824,0.5997670428442503
0.4493103448275862,0.5819357540633799
0.4662068965517241,0.5641014043778648
0.48310344827586205,0.546264314849682
0.5,0.528424763155617
