Metric,Value
Mean Error,0.0008491064221068576
Max Error,0.001497753369945245
Min Error,0.0001999600079983228
Median Error,0.0008492729108323857
Std Error,0.00041418082762682406
95th Percentile,0.0014977533699451267
99th Percentile,0.0014977533699452267
