config,alpha,RMSE_mm,BCRLB_tau,BCRLB_fD,sigma2_pn,sigma2_dse,sigma2_gamma,N0,G_sig_avg,method
HW,0.05,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.06315789473684211,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.07631578947368421,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.08947368421052632,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.10263157894736842,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.11578947368421053,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.12894736842105264,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.14210526315789473,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.15526315789473683,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.16842105263157894,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.18157894736842106,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.19473684210526315,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.20789473684210524,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.22105263157894733,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.23421052631578948,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.24736842105263157,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.26052631578947366,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.27368421052631575,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.2868421052631579,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW,0.3,0.004389762421020939,8.576312913196775e-28,9877.60134098469,0.0,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
