SNR_db,RMSE_mm,BCRLB_tau
0,0.0006650799470851316,1.968639943244385e-29
5,0.00037400193880138017,6.225386113436866e-30
10,0.00021031674588932797,1.968639943244385e-30
15,0.0001182697975931266,6.225386113436866e-31
20,6.650799470851315e-05,1.968639943244385e-31
25,3.740019388013801e-05,6.225386113436864e-32
30,2.10316745889328e-05,1.9686399432443852e-32
