SNR0_db,C_J_bps_hz,C_G_bps_hz,Jensen_gap_bits,C_sat,SNR_crit_db,alpha,Gamma_eff_total,sigma_2_phi_c_res_rad2,eta_bsq_avg,B_hz,f_c_hz
2.428571e+01,7.388534e+00,7.388534e+00,3.623057e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.571429e+01,7.388596e+00,7.388596e+00,2.607514e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.714286e+01,7.388641e+00,7.388641e+00,1.876632e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.857143e+01,7.388674e+00,7.388674e+00,1.350653e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
3.000000e+01,7.388697e+00,7.388697e+00,9.721113e-12,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
3.142857e+01,7.388714e+00,7.388714e+00,6.995293e-12,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
3.285714e+01,7.388726e+00,7.388726e+00,5.035083e-12,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
3.428571e+01,7.388734e+00,7.388734e+00,3.623768e-12,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
3.571429e+01,7.388740e+00,7.388740e+00,2.608580e-12,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
3.714286e+01,7.388745e+00,7.388745e+00,1.875833e-12,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
3.857143e+01,7.388748e+00,7.388748e+00,1.350919e-12,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
4.000000e+01,7.388751e+00,7.388751e+00,9.725554e-13,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
4.142857e+01,7.388752e+00,7.388752e+00,6.998846e-13,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
4.285714e+01,7.388753e+00,7.388753e+00,5.027090e-13,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
4.428571e+01,7.388754e+00,7.388754e+00,3.623768e-13,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
4.571429e+01,7.388755e+00,7.388755e+00,2.611245e-13,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
4.714286e+01,7.388755e+00,7.388755e+00,1.874056e-13,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
4.857143e+01,7.388756e+00,7.388756e+00,1.358913e-13,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
5.000000e+01,7.388756e+00,7.388756e+00,9.592327e-14,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
