Nt_Nr,C_sat,RMSE_mm,G_sig_ideal,G_sig_avg
16,7.384619184629383,18287.582776958785,256.0,249.06910530034887
32,7.384619184629383,18287.582776958632,1024.0,996.2764212013955
64,7.384619184629383,18287.582776957406,4096.0,3985.105684805582
128,7.384619184629383,18287.582776947605,16384.0,15940.422739222327
