RMSE,alpha
2233.6278706789017,0.01
2233.6278706789017,0.026896551724137928
2233.6278706789017,0.04379310344827586
2233.6278706789017,0.060689655172413794
2233.6278706789017,0.07758620689655171
2233.6278706789017,0.09448275862068964
2233.6278706789017,0.11137931034482758
2233.6278706789017,0.12827586206896552
2233.6278706789017,0.14517241379310344
2233.6278706789017,0.16206896551724137
2233.6278706789017,0.1789655172413793
2233.6278706789017,0.19586206896551722
2233.6278706789017,0.21275862068965518
2233.6278706789017,0.2296551724137931
2233.6278706789017,0.24655172413793103
2233.6278706789017,0.2634482758620689
2233.6278706789017,0.2803448275862069
2233.6278706789017,0.29724137931034483
2233.6278706789017,0.31413793103448273
2233.6278706789017,0.3310344827586207
2233.6278706789017,0.3479310344827586
2233.6278706789017,0.36482758620689654
2233.6278706789017,0.38172413793103444
2233.6278706789017,0.3986206896551724
2233.6278706789017,0.41551724137931034
2233.6278706789017,0.43241379310344824
2233.6278706789017,0.4493103448275862
2233.6278706789017,0.4662068965517241
2233.6278706789017,0.48310344827586205
2233.6278706789017,0.5
