R_net,RMSE,alpha
0.0014267479755425583,4467.255741357803,0.01
0.0014023973483041098,4467.255741357803,0.026896551724137928
0.0013780467210656613,4467.255741357803,0.04379310344827586
0.001353696093827213,4467.255741357803,0.060689655172413794
0.0013293454665887648,4467.255741357803,0.07758620689655171
0.0013049948393503163,4467.255741357803,0.09448275862068964
0.0012806442121118678,4467.255741357803,0.11137931034482758
0.0012562935848734196,4467.255741357803,0.12827586206896552
0.001231942957634971,4467.255741357803,0.14517241379310344
0.0012075923303965228,4467.255741357803,0.16206896551724137
0.0011832417031580743,4467.255741357803,0.1789655172413793
0.0011588910759196258,4467.255741357803,0.19586206896551722
0.0011345404486811774,4467.255741357803,0.21275862068965518
0.001110189821442729,4467.255741357803,0.2296551724137931
0.0010858391942042808,4467.255741357803,0.24655172413793103
0.0010614885669658325,4467.255741357803,0.2634482758620689
0.001037137939727384,4467.255741357803,0.2803448275862069
0.0010127873124889356,4467.255741357803,0.29724137931034483
0.000988436685250487,4467.255741357803,0.31413793103448273
0.0009640860580120387,4467.255741357803,0.3310344827586207
0.0009397354307735903,4467.255741357803,0.3479310344827586
0.0009153848035351418,4467.255741357803,0.36482758620689654
0.0008910341762966936,4467.255741357803,0.38172413793103444
0.0008666835490582452,4467.255741357803,0.3986206896551724
0.0008423329218197967,4467.255741357803,0.41551724137931034
0.0008179822945813484,4467.255741357803,0.43241379310344824
0.0007936316673429001,4467.255741357803,0.4493103448275862
0.0007692810401044516,4467.255741357803,0.4662068965517241
0.0007449304128660032,4467.255741357803,0.48310344827586205
0.0007205797856275547,4467.255741357803,0.5
