R_B,eta_bsq_avg,R_net,RMSE_mm,B_hz,f_c_hz
0.005,0.9999795630331464,7.38358497036492,69005.73817345915,700000000.0,140000000000.0
0.02,0.999673008530343,7.383717497419839,34507.10257325592,2800000000.0,140000000000.0
0.05,0.9979563033146439,7.3842513486564565,21839.21531297415,7000000000.0,140000000000.0
0.1,0.9918252132585756,7.385001759239645,15480.688361676095,14000000000.0,140000000000.0
