B_over_fc,Lap_over_lambda,crlb_whittle,crlb_cholesky,relative_error
1.066667e-01,1.500000e+01,7.891888e-12,8.071472e-12,2.275556e-02
1.211111e-01,3.000000e+00,6.769386e-12,6.967971e-12,2.933580e-02
1.211111e-01,4.333333e+00,6.779916e-12,6.978811e-12,2.933580e-02
1.211111e-01,5.666667e+00,6.794311e-12,6.993628e-12,2.933580e-02
1.211111e-01,7.000000e+00,6.812602e-12,7.012455e-12,2.933580e-02
1.211111e-01,8.333333e+00,6.834831e-12,7.035336e-12,2.933580e-02
1.211111e-01,9.666667e+00,6.861047e-12,7.062321e-12,2.933580e-02
1.211111e-01,1.100000e+01,6.891310e-12,7.093472e-12,2.933580e-02
1.211111e-01,1.233333e+01,6.925688e-12,7.128859e-12,2.933580e-02
1.211111e-01,1.366667e+01,6.964260e-12,7.168562e-12,2.933580e-02
1.211111e-01,1.500000e+01,7.007114e-12,7.212674e-12,2.933580e-02
1.355556e-01,3.000000e+00,6.050209e-12,6.272558e-12,3.675062e-02
1.355556e-01,4.333333e+00,6.062005e-12,6.284787e-12,3.675062e-02
1.355556e-01,5.666667e+00,6.078138e-12,6.301513e-12,3.675062e-02
1.355556e-01,7.000000e+00,6.098654e-12,6.322784e-12,3.675062e-02
1.355556e-01,8.333333e+00,6.123612e-12,6.348658e-12,3.675062e-02
1.355556e-01,9.666667e+00,6.153081e-12,6.379211e-12,3.675062e-02
1.355556e-01,1.100000e+01,6.187146e-12,6.414528e-12,3.675062e-02
1.355556e-01,1.233333e+01,6.225904e-12,6.454709e-12,3.675062e-02
1.355556e-01,1.366667e+01,6.269465e-12,6.499872e-12,3.675062e-02
1.355556e-01,1.500000e+01,6.317956e-12,6.550145e-12,3.675062e-02
1.500000e-01,3.000000e+00,5.469771e-12,5.715910e-12,4.500000e-02
1.500000e-01,4.333333e+00,5.482834e-12,5.729561e-12,4.500000e-02
1.500000e-01,5.666667e+00,5.500712e-12,5.748245e-12,4.500000e-02
1.500000e-01,7.000000e+00,5.523469e-12,5.772025e-12,4.500000e-02
1.500000e-01,8.333333e+00,5.551183e-12,5.800986e-12,4.500000e-02
1.500000e-01,9.666667e+00,5.583949e-12,5.835227e-12,4.500000e-02
1.500000e-01,1.100000e+01,5.621882e-12,5.874867e-12,4.500000e-02
1.500000e-01,1.233333e+01,5.665116e-12,5.920046e-12,4.500000e-02
1.500000e-01,1.366667e+01,5.713803e-12,5.970924e-12,4.500000e-02
1.500000e-01,1.500000e+01,5.768116e-12,6.027681e-12,4.500000e-02
