RMSE,alpha
4952834294.368943,0.01
4856150731.589596,0.026896551724137928
4855513047.611295,0.04379310344827586
4855463915.072874,0.060689655172413794
4855455458.4214525,0.07758620689655171
4855453260.54542,0.09448275862068964
4855452524.140635,0.11137931034482758
4855452230.608662,0.12827586206896552
4855452097.738153,0.14517241379310344
4855452031.406223,0.16206896551724137
4855451995.592633,0.1789655172413793
4855451974.963496,0.19586206896551722
4855451962.410677,0.21275862068965518
4855451954.400636,0.2296551724137931
4855451949.070926,0.24655172413793103
4855451945.389711,0.2634482758620689
4855451942.760151,0.2803448275862069
4855451940.823735,0.29724137931034483
4855451939.3578005,0.31413793103448273
4855451938.219851,0.3310344827586207
4855451937.316215,0.3479310344827586
4855451936.583774,0.36482758620689654
4855451935.979041,0.38172413793103444
4855451935.471429,0.3986206896551724
4855451935.0390005,0.41551724137931034
4855451934.665748,0.43241379310344824
4855451934.33979,0.4493103448275862
4855451934.052176,0.4662068965517241
4855451933.796054,0.48310344827586205
4855451933.566114,0.5
