Parameter,C_sat,RMSE_mm
Nominal,7.384619184629383,18287.582776957406
PA floor +3dB,6.520514182577892,18287.582776956246
PA floor -3dB,8.156012976277786,18287.58277695799
ENOB +1bit,7.384733314822382,18287.582776957406
ENOB -1bit,7.384162818244407,18287.582776957406
Jitter ×2,7.384336188963073,18287.582776957406
Jitter ÷2,7.384689942324985,18287.582776957406
