alpha,R_net_bps_hz,RMSE_mm
0.01,0.05485430391753831,0.38257469464585053
0.026896551724137928,0.0561149885403228,0.03230029952368224
0.04379310344827586,0.05564553880906688,0.009663663048382991
0.060689655172413794,0.05488349256428827,0.0044540621159104244
0.07758620689655171,0.05401924169757988,0.0026471627318429584
0.09448275862068964,0.053107437389030114,0.0018915237977393312
0.11137931034482758,0.05216966099411215,0.001539872752950382
0.12827586206896552,0.05121615073301168,0.0013611620209019505
0.14517241379310344,0.05025238858538016,0.0012619008140286332
0.16206896551724137,0.04928157482855716,0.0012017073491140152
0.1789655172413793,0.04830570326293394,0.0011621459842818683
0.19586206896551722,0.04732608078229804,0.001134284429024853
0.21275862068965518,0.046343599732654985,0.0011135185356206854
0.2296551724137931,0.04535889020397315,0.0010973265097992413
0.24655172413793103,0.04437240978050941,0.0010842456404218331
0.2634482758620689,0.04338449879459901,0.0010733814980915047
0.2803448275862069,0.04239541562159503,0.0010641603045779345
0.29724137931034483,0.04140535994948612,0.0010561978261416113
0.31413793103448273,0.04041448854634328,0.0010492267619077215
0.3310344827586207,0.039422926203530745,0.001043054814593192
0.3479310344827586,0.03843077349316888,0.0010375395277028407
0.36482758620689654,0.03743811237177094,0.0010325726396196127
0.38172413793103444,0.036445010296866885,0.0010280700330544874
0.3986206896551724,0.0354515232974839,0.0010239650830928208
0.41551724137931034,0.03445769829604235,0.0010202041326535989
0.43241379310344824,0.03346357488627584,0.001016743337259699
0.4493103448275862,0.032469186710272,0.0010135464141564539
0.4662068965517241,0.03147456253626707,0.0010105830030738812
0.48310344827586205,0.030479727110412875,0.0010078274498438319
0.5,0.02948470183594658,0.00100525788832666
