R_net,RMSE,alpha
0.0014267479755425583,30031.578353811277,0.01
0.0014023973483041098,18311.631723810428,0.026896551724137928
0.0013780467210656613,14350.67958780766,0.04379310344827586
0.001353696093827213,12190.401034222334,0.060689655172413794
0.0013293454665887648,10781.596333825775,0.07758620689655171
0.0013049948393503163,9770.10081852864,0.09448275862068964
0.0012806442121118678,8998.56100959445,0.11137931034482758
0.0012562935848734196,8384.995940908733,0.12827586206896552
0.001231942957634971,7881.9427981640265,0.14517241379310344
0.0012075923303965228,7459.769316057432,0.16206896551724137
0.0011832417031580743,7098.893286267456,0.1789655172413793
0.0011588910759196258,6785.785990462341,0.19586206896551722
0.0011345404486811774,6510.760869017231,0.21275862068965518
0.001110189821442729,6266.675577035155,0.2296551724137931
0.0010858391942042808,6048.132622480394,0.24655172413793103
0.0010614885669658325,5850.966982399453,0.2634482758620689
0.001037137939727384,5671.906380441743,0.2803448275862069
0.0010127873124889356,5508.339425013902,0.29724137931034483
0.000988436685250487,5358.1533403909,0.31413793103448273
0.0009640860580120387,5219.617879595762,0.3310344827586207
0.0009397354307735903,5091.3006487508,0.3479310344827586
0.0009153848035351418,4972.004268194266,0.36482758620689654
0.0008910341762966936,4860.719012599923,0.38172413793103444
0.0008666835490582452,4756.5866167620825,0.3986206896551724
0.0008423329218197967,4658.872263647893,0.41551724137931034
0.0008179822945813484,4566.942654842876,0.43241379310344824
0.0007936316673429001,4480.2486617473805,0.4493103448275862
0.0007692810401044516,4467.255741357803,0.4662068965517241
0.0007449304128660032,4467.255741357803,0.48310344827586205
0.0007205797856275547,4467.255741357803,0.5
