SNR0_db,C_J_bps_hz,C_G_bps_hz,Jensen_gap_bits,C_sat,SNR_crit_db,alpha,Gamma_eff_total,sigma_2_phi_c_res_rad2,eta_bsq_avg,B_hz,f_c_hz
-4.673060e+01,1.051238e-01,1.052745e-01,-1.507311e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.612454e+01,1.190248e-01,1.191905e-01,-1.656671e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.551848e+01,1.344955e-01,1.346765e-01,-1.810289e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.491242e+01,1.516414e-01,1.518380e-01,-1.965483e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.430636e+01,1.705565e-01,1.707684e-01,-2.118938e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.370030e+01,1.913181e-01,1.915447e-01,-2.266733e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.309424e+01,2.139803e-01,2.142208e-01,-2.404437e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.248818e+01,2.385687e-01,2.388214e-01,-2.527268e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.188212e+01,2.650738e-01,2.653368e-01,-2.630326e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.127606e+01,2.934458e-01,2.937167e-01,-2.708889e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.067000e+01,3.235905e-01,3.238664e-01,-2.758754e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-4.006394e+01,3.553668e-01,3.556444e-01,-2.776592e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.945788e+01,3.885860e-01,3.888620e-01,-2.760281e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
