alpha,config,RMSE_mm,BCRLB_tau,method,N,ratio_to_AWGN
2.342105e-01,Full,1.093538e-03,5.322145e-29,unknown,,8.861728e+00
2.473684e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
2.473684e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
2.473684e-01,HW+PN,1.076360e-03,5.156244e-29,unknown,,8.722516e+00
2.473684e-01,HW+PN+DSE,1.083675e-03,5.226570e-29,unknown,,8.781798e+00
2.473684e-01,Full,1.083675e-03,5.226570e-29,unknown,,8.781798e+00
2.605263e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
2.605263e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
2.605263e-01,HW+PN,1.069443e-03,5.090193e-29,unknown,,8.666469e+00
2.605263e-01,HW+PN+DSE,1.075130e-03,5.144466e-29,unknown,,8.712548e+00
2.605263e-01,Full,1.075130e-03,5.144466e-29,unknown,,8.712548e+00
2.736842e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
2.736842e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
2.736842e-01,HW+PN,1.063154e-03,5.030493e-29,unknown,,8.615497e+00
2.736842e-01,HW+PN+DSE,1.067627e-03,5.072915e-29,unknown,,8.651748e+00
2.736842e-01,Full,1.067627e-03,5.072915e-29,unknown,,8.651748e+00
2.868421e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
2.868421e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
2.868421e-01,HW+PN,1.057408e-03,4.976270e-29,unknown,,8.568938e+00
2.868421e-01,HW+PN+DSE,1.060966e-03,5.009815e-29,unknown,,8.597771e+00
2.868421e-01,Full,1.060966e-03,5.009815e-29,unknown,,8.597771e+00
3.000000e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
3.000000e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
3.000000e-01,HW+PN,1.052139e-03,4.926803e-29,unknown,,8.526242e+00
3.000000e-01,HW+PN+DSE,1.054998e-03,4.953609e-29,unknown,,8.549405e+00
3.000000e-01,Full,1.054998e-03,4.953609e-29,unknown,,8.549405e+00
