alpha,R_net_bps_hz
0.01,0.9998826757418531
0.026896551724137928,1.0118895017676002
0.04379310344827586,1.00092287844181
0.060689655172413794,0.9861203273902075
0.07758620689655171,0.9699828959606541
0.09448275862068964,0.9532255524729157
0.11137931034482758,0.9361300271689271
0.12827586206896552,0.9188297933688404
0.14517241379310344,0.9013962518696003
0.16206896551724137,0.8838710565777944
0.1789655172413793,0.8662801445802873
0.19586206896551722,0.8486405099867762
0.21275862068965518,0.8309637524192356
0.2296551724137931,0.8132580601191903
0.24655172413793103,0.7955293781410927
0.2634482758620689,0.7777821272722494
0.2803448275862069,0.7600196631193389
0.29724137931034483,0.7422445786978817
0.31413793103448273,0.7244589094179266
0.3310344827586207,0.7066642753224979
0.3479310344827586,0.6888619818995524
0.36482758620689654,0.6710530928920196
0.38172413793103444,0.6532384837786674
0.3986206896551724,0.6354188816587609
0.41551724137931034,0.6175948954091807
0.43241379310344824,0.5997670387737652
0.4493103448275862,0.581935748244741
0.4662068965517241,0.5641013970570369
0.48310344827586205,0.5462643062468389
0.5,0.5284247534686252
