alpha,R_net_bps_hz,RMSE_mm,label,Quality
0.05,9.395676979712183,0.0027491195549159022,Ideal,Ideal
0.06315789473684211,9.266008524612854,0.001770588662887071,Ideal,Ideal
0.07631578947368421,9.136168703336578,0.001341280048519345,Ideal,Ideal
0.08947368421052632,9.006233118571636,0.0011238326660941902,Ideal,Ideal
0.10263157894736842,8.876238602413409,0.0009985434593409866,Ideal,Ideal
0.11578947368421053,8.746205245102043,0.0009177638512341314,Ideal,Ideal
0.12894736842105264,8.616144936782444,0.0008607412141544255,Ideal,Ideal
0.14210526315789473,8.486065163843488,0.000817628263310171,Ideal,Ideal
0.15526315789473683,8.355970874915831,0.0007833495386994855,Ideal,Ideal
0.16842105263157894,8.225865472183441,0.000755079105733387,Ideal,Ideal
0.18157894736842106,8.095751371690247,0.0007311297826860368,Ideal,Ideal
0.19473684210526315,7.965630336495477,0.0007104303547801656,Ideal,Ideal
0.20789473684210524,7.835503683314344,0.0006922635779497759,Ideal,Ideal
0.22105263157894733,7.705372415358501,0.0006761270059327638,Ideal,Ideal
0.23421052631578948,7.575237310398823,0.0006616550077455974,Ideal,Ideal
0.24736842105263157,7.445098980723045,0.0006485728975446873,Ideal,Ideal
0.26052631578947366,7.3149579149244355,0.0006366687421829166,Ideal,Ideal
0.27368421052631575,7.184814507636036,0.0006257753357725897,Ideal,Ideal
0.2868421052631579,7.0546690810811565,0.0006157582601372947,Ideal,Ideal
0.3,6.92452190095272,0.0006065077233332468,Ideal,Ideal
0.05,9.193164442470767,0.0027534053216329134,SoA,SoA
0.06315789473684211,9.06630079196635,0.0017772358953844988,SoA,SoA
0.07631578947368421,8.939265804079977,0.0013500430157424217,SoA,SoA
0.08947368421052632,8.81213506879039,0.0011342770498661147,SoA,SoA
0.10263157894736842,8.684945412003774,0.0010102841019397736,SoA,SoA
0.11578947368421053,8.557716920585348,0.0009305243697961619,SoA,SoA
0.12894736842105264,8.43046148268305,0.0008743343954224614,SoA,SoA
0.14210526315789473,8.30318658342863,0.0008319261935379675,SoA,SoA
0.15526315789473683,8.175897170621866,0.0007982616707109044,SoA,SoA
0.16842105263157894,8.048596645875566,0.0007705385200681184,SoA,SoA
0.18157894736842106,7.921287424828089,0.0007470849097765081,SoA,SoA
0.19473684210526315,7.79397127024273,0.0007268399647832492,SoA,SoA
0.20789473684210524,7.666649498613705,0.0007090936792366289,SoA,SoA
0.22105263157894733,7.539323112984293,0.0006933488666272743,SoA,SoA
0.23421052631578948,7.411992890994846,0.0006792438518126696,SoA,SoA
0.24736842105263157,7.284659444830346,0.0006665070168117815,SoA,SoA
0.26052631578947366,7.157323263002074,0.0006549288721959992,SoA,SoA
0.27368421052631575,7.029984740076847,0.0006443442038679745,SoA,SoA
0.2868421052631579,6.9026441982239115,0.0006346202491198745,SoA,SoA
0.3,6.775301903091606,0.0006256486148748556,SoA,SoA
0.05,7.949548483026521,0.0027991889568009356,Low-Cost,Low-Cost
0.06315789473684211,7.839908589054871,0.0018473743751443177,Low-Cost,Low-Cost
0.07631578947368421,7.73009766749584,0.0014411272454830184,Low-Cost,Low-Cost
0.08947368421052632,7.620191171591177,0.001241298038573561,Low-Cost,Low-Cost
0.10263157894736842,7.510225860659743,0.001129120398304535,Low-Cost,Low-Cost
0.11578947368421053,7.400221785257163,0.0010583550759050823,Low-Cost,Low-Cost
0.12894736842105264,7.290190812046761,0.001009306971533218,Low-Cost,Low-Cost
0.14210526315789473,7.180140412635242,0.0009728004461562979,Low-Cost,Low-Cost
0.15526315789473683,7.070075525883314,0.00094417189155211,Low-Cost,Low-Cost
0.16842105263157894,6.959999547258863,0.0009208516249399518,Low-Cost,Low-Cost
0.18157894736842106,6.849914888036861,0.0009013174599826544,Low-Cost,Low-Cost
0.19473684210526315,6.739823307796765,0.0008846088564361717,Low-Cost,Low-Cost
0.20789473684210524,6.629726120655142,0.0008700859440000956,Low-Cost,Low-Cost
0.22105263157894733,6.519624327843841,0.0008573025085193124,Low-Cost,Low-Cost
0.23421052631578948,6.409518705598912,0.0008459352329931308,Low-Cost,Low-Cost
0.24736842105263157,6.299409864999877,0.0008357422528381835,Low-Cost,Low-Cost
0.26052631578947366,6.189298293675915,0.0008265377623840371,Low-Cost,Low-Cost
0.27368421052631575,6.079184385481399,0.0008181758162730214,Low-Cost,Low-Cost
0.2868421052631579,5.969068462003883,0.0008105396188948247,Low-Cost,Low-Cost
0.3,5.858950788412071,0.0008035342136648713,Low-Cost,Low-Cost
