alpha,R_net_bps_hz,RMSE_mm,label,Bandwidth_Hz
0.05,6.931721602165633,0.026471067301247393,5 GHz,5000000000.0
0.06315789473684211,6.839257333598711,0.015152834889237255,5 GHz,5000000000.0
0.07631578947368421,6.7454890254333,0.00995317644889457,5 GHz,5000000000.0
0.08947368421052632,6.650991976311238,0.007303185237357345,5 GHz,5000000000.0
0.10263157894736842,6.556046465729269,0.005870689019950664,5 GHz,5000000000.0
0.11578947368421053,6.460805375627361,0.005065836744289266,5 GHz,5000000000.0
0.12894736842105264,6.365359188125993,0.0045981026200487985,5 GHz,5000000000.0
0.14210526315789473,6.269764873922397,0.0043164316186798165,5 GHz,5000000000.0
0.15526315789473683,6.174060091862397,0.004140193411348548,5 GHz,5000000000.0
0.16842105263157894,6.078270732542465,0.004025486418019009,5 GHz,5000000000.0
0.18157894736842106,5.982415182121088,0.0039478595167828446,5 GHz,5000000000.0
0.19473684210526315,5.886506857575784,0.003893327711162255,5 GHz,5000000000.0
0.20789473684210524,5.790555779213574,0.0038536572981492734,5 GHz,5000000000.0
0.22105263157894733,5.694569581575666,0.003823855026056574,5 GHz,5000000000.0
0.23421052631578948,5.598554183590672,0.00380080336525158,5 GHz,5000000000.0
0.24736842105263157,5.502514244850853,0.00378250069909036,5 GHz,5000000000.0
0.26052631578947366,5.406453483623925,0.003767627344199033,5 GHz,5000000000.0
0.27368421052631575,5.31037490313133,0.0037552912065824924,5 GHz,5000000000.0
0.2868421052631579,5.214280955548542,0.003744874923165426,5 GHz,5000000000.0
0.3,5.1181736628476715,0.0037359417553843193,5 GHz,5000000000.0
0.05,6.9315832391137375,0.01342884651680649,10 GHz,10000000000.0
0.06315789473684211,6.839149311503702,0.0077248332039590115,10 GHz,10000000000.0
0.07631578947368421,6.745400882452032,0.005112439720909748,10 GHz,10000000000.0
0.08947368421052632,6.650917865909732,0.0037850843469229892,10 GHz,10000000000.0
0.10263157894736842,6.555982789951607,0.0030678822852330456,10 GHz,10000000000.0
0.11578947368421053,6.460749763050649,0.002662896343939305,10 GHz,10000000000.0
0.12894736842105264,6.36530999325038,0.00242465061214759,10 GHz,10000000000.0
0.14210526315789473,6.269720908318347,0.002278329476573657,10 GHz,10000000000.0
0.15526315789473683,6.1740204692356375,0.0021843292478161466,10 GHz,10000000000.0
0.16842105263157894,6.078234774318975,0.002121161098776677,10 GHz,10000000000.0
0.18157894736842106,5.982382357239673,0.0020768398167523186,10 GHz,10000000000.0
0.19473684210526315,5.886476742620564,0.002044472541726892,10 GHz,10000000000.0
0.20789473684210524,5.790528031162535,0.0020199651679566506,10 GHz,10000000000.0
0.22105263157894733,5.694543918659612,0.0020008059958898914,10 GHz,10000000000.0
0.23421052631578948,5.598530371528783,0.001985404832940089,10 GHz,10000000000.0
0.24736842105263157,5.502492086746942,0.0019727241500011325,10 GHz,10000000000.0
0.26052631578947366,5.406432812414097,0.0019620674706741425,10 GHz,10000000000.0
0.27368421052631575,5.310355575847095,0.001952954602907825,10 GHz,10000000000.0
0.2868421052631579,5.214262848895693,0.0019450461029679978,10 GHz,10000000000.0
0.3,5.118156669754712,0.0019380963763424893,10 GHz,10000000000.0
0.05,6.931309781616065,0.007010882862659325,20 GHz,20000000000.0
0.06315789473684211,6.838935819119942,0.004071787134922299,20 GHz,20000000000.0
0.07631578947368421,6.745226678668395,0.0027333203154169938,20 GHz,20000000000.0
0.08947368421052632,6.650771395783996,0.0020565683263433043,20 GHz,20000000000.0
0.10263157894736842,6.5558569425723725,0.001690646263306033,20 GHz,20000000000.0
0.11578947368421053,6.460639851595131,0.0014817768297325279,20 GHz,20000000000.0
0.12894736842105264,6.365212765591978,0.0013560797602597055,20 GHz,20000000000.0
0.14210526315789473,6.2696340156730095,0.0012762355689750165,20 GHz,20000000000.0
0.15526315789473683,6.173942159952117,0.0012227330257384786,20 GHz,20000000000.0
0.16842105263157894,6.078163707279353,0.0011850292643962037,20 GHz,20000000000.0
0.18157894736842106,5.982317482866865,0.001157222229358669,20 GHz,20000000000.0
0.19473684210526315,5.886417224085155,0.0011358827469111646,20 GHz,20000000000.0
0.20789473684210524,5.7904731905236595,0.0011189423927939837,20 GHz,20000000000.0
0.22105263157894733,5.69449319903505,0.0011051070851983403,20 GHz,20000000000.0
0.23421052631578948,5.598483309891237,0.0010935384355666355,20 GHz,20000000000.0
0.24736842105263157,5.502448293955239,0.0010836751309397754,20 GHz,20000000000.0
0.26052631578947366,5.406391958286926,0.0010751296737531555,20 GHz,20000000000.0
0.27368421052631575,5.310317377824745,0.0010676268751754526,20 GHz,20000000000.0
0.2868421052631579,5.214227063302268,0.0010609661576689198,20 GHz,20000000000.0
0.3,5.118123084976496,0.0010549978165614008,20 GHz,20000000000.0
