alpha,R_net_bps_hz,RMSE_mm,label,Nt
0.05,5.057225147527287,0.02785791665439846,$N=16$,16
0.06315789473684211,4.990740177722542,0.01596543262860525,$N=16$,16
0.07631578947368421,4.922945101654857,0.010447985523750035,$N=16$,16
0.08947368421052632,4.854417855094567,0.00756936127242504,$N=16$,16
0.10263157894736842,4.785440019916682,0.005946099192846794,$N=16$,16
0.11578947368421053,4.7161651951789985,0.004975342720282248,$N=16$,16
0.12894736842105264,4.646684290373616,0.004364240491161166,$N=16$,16
0.14210526315789473,4.5770545467218025,0.00396027119536915,$N=16$,16
0.15526315789473683,4.507313802648177,0.0036802863693028614,$N=16$,16
0.16842105263157894,4.43748807263502,0.003477354779048644,$N=16$,16
0.18157894736842106,4.367595831069146,0.003324139837231113,$N=16$,16
0.19473684210526315,4.297650559466068,0.003204212840795609,$N=16$,16
0.20789473684210524,4.227662326431372,0.0031073841162732206,$N=16$,16
0.22105263157894733,4.157638803370751,0.00302713197961564,$N=16$,16
0.23421052631578948,4.087585937837627,0.0029591521517805205,$N=16$,16
0.24736842105263157,4.017508411989605,0.0029005186264637064,$N=16$,16
0.26052631578947366,3.9474099621230163,0.002849185755576953,$N=16$,16
0.27368421052631575,3.877293606036733,0.0028036852238405886,$N=16$,16
0.2868421052631579,3.807161807820558,0.002762936996439734,$N=16$,16
0.3,3.7370165992793964,0.002726128504772779,$N=16$,16
0.05,6.931309781616065,0.007010882862659325,$N=64$,64
0.06315789473684211,6.838935819119942,0.004071787134922299,$N=64$,64
0.07631578947368421,6.745226678668395,0.0027333203154169938,$N=64$,64
0.08947368421052632,6.650771395783996,0.0020565683263433043,$N=64$,64
0.10263157894736842,6.5558569425723725,0.001690646263306033,$N=64$,64
0.11578947368421053,6.460639851595131,0.0014817768297325279,$N=64$,64
0.12894736842105264,6.365212765591978,0.0013560797602597055,$N=64$,64
0.14210526315789473,6.2696340156730095,0.0012762355689750165,$N=64$,64
0.15526315789473683,6.173942159952117,0.0012227330257384786,$N=64$,64
0.16842105263157894,6.078163707279353,0.0011850292643962037,$N=64$,64
0.18157894736842106,5.982317482866865,0.001157222229358669,$N=64$,64
0.19473684210526315,5.886417224085155,0.0011358827469111646,$N=64$,64
0.20789473684210524,5.7904731905236595,0.0011189423927939837,$N=64$,64
0.22105263157894733,5.69449319903505,0.0011051070851983403,$N=64$,64
0.23421052631578948,5.598483309891237,0.0010935384355666355,$N=64$,64
0.24736842105263157,5.502448293955239,0.0010836751309397754,$N=64$,64
0.26052631578947366,5.406391958286926,0.0010751296737531555,$N=64$,64
0.27368421052631575,5.310317377824745,0.0010676268751754526,$N=64$,64
0.2868421052631579,5.214227063302268,0.0010609661576689198,$N=64$,64
0.3,5.118123084976496,0.0010549978165614008,$N=64$,64
0.05,8.824753643530808,0.0017983762179608212,$N=256$,256
0.06315789473684211,8.706172067524532,0.0010946886303771382,$N=256$,256
0.07631578947368421,8.58624889498464,0.0007931382379505201,$N=256$,256
0.08947368421052632,8.465576003308321,0.000653047575177194,$N=256$,256
0.10263157894736842,8.344441744557498,0.0005837571737628036,$N=256$,256
0.11578947368421053,8.223003402261165,0.0005471369539675283,$N=256$,256
0.12894736842105264,8.101354062846879,0.000526369191069332,$N=256$,256
0.14210526315789473,7.979552336412784,0.0005137397344653836,$N=256$,256
0.15526315789473683,7.8576369652931355,0.0005055413479678663,$N=256$,256
0.16842105263157894,7.735634584879773,0.0004998980233633471,$N=256$,256
0.18157894736842106,7.613564110182999,0.0004958096120301056,$N=256$,256
0.19473684210526315,7.491439344061679,0.0004927155889330913,$N=256$,256
0.20789473684210524,7.369270594988673,0.000490286804438851,$N=256$,256
0.22105263157894733,7.247065717044252,0.000488321469052301,$N=256$,256
0.23421052631578948,7.1248307993507,0.00048669088383352077,$N=256$,256
0.24736842105263157,7.0025706354750605,0.0004853099418973328,$N=256$,256
0.26052631578947366,6.880289050588904,0.0004841204734835913,$N=256$,256
0.27368421052631575,6.757989134255263,0.00048308150670541635,$N=256$,256
0.2868421052631579,6.635673409145885,0.00048216338487209586,$N=256$,256
0.3,6.513343955359286,0.0004813441053054318,$N=256$,256
